|                      model_slug                      |         field_name         | n  |
| hoopin-it-up                                         | year                       | 1  |
| lexy-lightspeed-escape-from-earth                    | abbreviation               | 2  |
| lexy-lightspeed-escape-from-earth                    | corporate_entity           | 1  |
| lexy-lightspeed-escape-from-earth                    | credit                     | 18 |
| lexy-lightspeed-escape-from-earth                    | display_type               | 2  |
| lexy-lightspeed-escape-from-earth                    | ipdb.corporate_entity_name | 1  |
| lexy-lightspeed-escape-from-earth                    | ipdb.image_urls            | 1  |
| lexy-lightspeed-escape-from-earth                    | ipdb.notable_features      | 1  |
| lexy-lightspeed-escape-from-earth                    | ipdb.notes                 | 1  |
| lexy-lightspeed-escape-from-earth                    | ipdb_id                    | 2  |
| lexy-lightspeed-escape-from-earth                    | month                      | 2  |
| lexy-lightspeed-escape-from-earth                    | name                       | 2  |
| lexy-lightspeed-escape-from-earth                    | opdb.images                | 1  |
| lexy-lightspeed-escape-from-earth                    | opdb_id                    | 2  |
| lexy-lightspeed-escape-from-earth                    | player_count               | 2  |
| lexy-lightspeed-escape-from-earth                    | slug                       | 1  |
| lexy-lightspeed-escape-from-earth                    | technology_generation      | 3  |
| lexy-lightspeed-escape-from-earth                    | theme                      | 4  |
| lexy-lightspeed-escape-from-earth                    | title                      | 1  |
| lexy-lightspeed-escape-from-earth                    | year                       | 2  |
| lexy-lightspeed-secret-agent-showdown                | abbreviation               | 2  |
| lexy-lightspeed-secret-agent-showdown                | corporate_entity           | 1  |
| lexy-lightspeed-secret-agent-showdown                | credit                     | 6  |
| lexy-lightspeed-secret-agent-showdown                | display_type               | 2  |
| lexy-lightspeed-secret-agent-showdown                | ipdb.corporate_entity_name | 1  |
| lexy-lightspeed-secret-agent-showdown                | ipdb.image_urls            | 1  |
| lexy-lightspeed-secret-agent-showdown                | ipdb.notes                 | 1  |
| lexy-lightspeed-secret-agent-showdown                | ipdb_id                    | 2  |
| lexy-lightspeed-secret-agent-showdown                | model_relationship         | 1  |
| lexy-lightspeed-secret-agent-showdown                | month                      | 2  |
| lexy-lightspeed-secret-agent-showdown                | name                       | 2  |
| lexy-lightspeed-secret-agent-showdown                | opdb.features              | 1  |
| lexy-lightspeed-secret-agent-showdown                | opdb.images                | 1  |
| lexy-lightspeed-secret-agent-showdown                | opdb_id                    | 2  |
| lexy-lightspeed-secret-agent-showdown                | player_count               | 2  |
| lexy-lightspeed-secret-agent-showdown                | slug                       | 1  |
| lexy-lightspeed-secret-agent-showdown                | tag                        | 2  |
| lexy-lightspeed-secret-agent-showdown                | technology_generation      | 3  |
| lexy-lightspeed-secret-agent-showdown                | theme                      | 4  |
| lexy-lightspeed-secret-agent-showdown                | title                      | 1  |
| lexy-lightspeed-secret-agent-showdown                | year                       | 2  |
| portal-extended                                      | corporate_entity           | 1  |
| portal-extended                                      | display_type               | 2  |
| portal-extended                                      | image_urls                 | 1  |
| portal-extended                                      | month                      | 2  |
| portal-extended                                      | name                       | 2  |
| portal-extended                                      | opdb.features              | 1  |
| portal-extended                                      | opdb_id                    | 2  |
| portal-extended                                      | player_count               | 2  |
| portal-extended                                      | slug                       | 1  |
| portal-extended                                      | technology_generation      | 2  |
| portal-extended                                      | theme                      | 3  |
| portal-extended                                      | title                      | 1  |
| portal-extended                                      | year                       | 2  |
| portal-standard                                      | corporate_entity           | 1  |
| portal-standard                                      | display_type               | 2  |
| portal-standard                                      | image_urls                 | 1  |
| portal-standard                                      | month                      | 2  |
| portal-standard                                      | name                       | 2  |
| portal-standard                                      | opdb.features              | 1  |
| portal-standard                                      | opdb_id                    | 2  |
| portal-standard                                      | player_count               | 2  |
| portal-standard                                      | slug                       | 1  |
| portal-standard                                      | technology_generation      | 2  |
| portal-standard                                      | theme                      | 3  |
| portal-standard                                      | title                      | 1  |
| portal-standard                                      | year                       | 2  |
| rocs                                                 | corporate_entity           | 1  |
| rocs                                                 | credit                     | 8  |
| rocs                                                 | display_type               | 2  |
| rocs                                                 | ipdb.corporate_entity_name | 1  |
| rocs                                                 | ipdb.image_urls            | 1  |
| rocs                                                 | ipdb.notes                 | 1  |
| rocs                                                 | ipdb_id                    | 2  |
| rocs                                                 | month                      | 3  |
| rocs                                                 | name                       | 2  |
| rocs                                                 | opdb.images                | 1  |
| rocs                                                 | opdb_id                    | 2  |
| rocs                                                 | player_count               | 3  |
| rocs                                                 | slug                       | 1  |
| rocs                                                 | technology_generation      | 3  |
| rocs                                                 | title                      | 1  |
| rocs                                                 | year                       | 3  |
| shoot-n-scoot                                        | abbreviation               | 1  |
| shoot-n-scoot                                        | corporate_entity           | 1  |
| shoot-n-scoot                                        | display_type               | 2  |
| shoot-n-scoot                                        | month                      | 2  |
| shoot-n-scoot                                        | name                       | 2  |
| shoot-n-scoot                                        | opdb.images                | 1  |
| shoot-n-scoot                                        | opdb_id                    | 2  |
| shoot-n-scoot                                        | player_count               | 2  |
| shoot-n-scoot                                        | slug                       | 1  |
| shoot-n-scoot                                        | technology_generation      | 2  |
| shoot-n-scoot                                        | title                      | 1  |
| shoot-n-scoot                                        | year                       | 2  |
| sorcerers-apprentice                                 | corporate_entity           | 1  |
| sorcerers-apprentice                                 | display_type               | 2  |
| sorcerers-apprentice                                 | image_urls                 | 1  |
| sorcerers-apprentice                                 | model_relationship         | 1  |
| sorcerers-apprentice                                 | month                      | 1  |
| sorcerers-apprentice                                 | name                       | 2  |
| sorcerers-apprentice                                 | opdb.features              | 1  |
| sorcerers-apprentice                                 | opdb_id                    | 2  |
| sorcerers-apprentice                                 | player_count               | 1  |
| sorcerers-apprentice                                 | slug                       | 1  |
| sorcerers-apprentice                                 | tag                        | 2  |
| sorcerers-apprentice                                 | technology_generation      | 2  |
| sorcerers-apprentice                                 | title                      | 1  |
| sorcerers-apprentice                                 | year                       | 1  |
| the-princess-bride                                   | abbreviation               | 1  |
| the-princess-bride                                   | corporate_entity           | 1  |
| the-princess-bride                                   | display_type               | 2  |
| the-princess-bride                                   | month                      | 1  |
| the-princess-bride                                   | name                       | 2  |
| the-princess-bride                                   | opdb.features              | 1  |
| the-princess-bride                                   | opdb.images                | 1  |
| the-princess-bride                                   | opdb_id                    | 2  |
| the-princess-bride                                   | player_count               | 1  |
| the-princess-bride                                   | slug                       | 1  |
| the-princess-bride                                   | technology_generation      | 2  |
| the-princess-bride                                   | theme                      | 2  |
| the-princess-bride                                   | title                      | 1  |
| the-princess-bride                                   | year                       | 1  |
